bolum_id,bolum_adi
320710,HAVACILIK ELEKTRONİĞİ TEKNOLOJİLERİ
33284,HİBRİD VE ELEKTRİKLİ TAŞITLAR TEKNOLOJİSİ
320901,HİDROJEN VE ENERJİ DEPOLAMA TEKNİKERLİĞİ
320938,HİDROLİK VE PNÖMATİK TEKNİKERLİĞİ
33336,İÇ MEKAN TASARIMI
33347,İKLİMLENDİRME VE SOĞUTMA TEKNOLOJİSİ
33348,İKRAM HİZMETLERİ
83367,İLAHİYAT
33402,İLK VE ACİL YARDIM
320726,İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ
33461,İNSAN KAYNAKLARI YÖNETİMİ
83461,İNSAN KAYNAKLARI YÖNETİMİ
320732,İNSANSIZ ARAÇ TEKNİKERLİĞİ
320072,İNSANSIZ HAVA ARACI TEKNOLOJİSİ VE OPERATÖRLÜĞÜ
33477,İNŞAAT TEKNOLOJİSİ
33485,İNTERNET VE AĞ TEKNOLOJİLERİ
83510,İSLAMİ İLİMLER
33533,İŞ MAKİNELERİ OPERATÖRLÜĞÜ
33528,İŞ SAĞLIĞI VE GÜVENLİĞİ
83528,İŞ SAĞLIĞI VE GÜVENLİĞİ
33541,İŞ VE UĞRAŞI TERAPİSİ
33568,İŞLETME YÖNETİMİ
83568,İŞLETME YÖNETİMİ
320717,KARAYOLU YÜK TAŞITI SÜRÜCÜLÜĞÜ
320897,KARBON YÖNETİMİ TEKNİKERLİĞİ
33692,KAYNAK TEKNOLOJİSİ
320739,KENEVİR DOKUMACILIĞI
33752,KİMYA TEKNOLOJİSİ
33835,KONTROL VE OTOMASYON TEKNOLOJİSİ
33839,KOOPERATİFÇİLİK
33853,KOZMETİK TEKNOLOJİSİ
320730,KURUMSAL BİLİŞİM UZMANLIĞI
37320,KUYUMCULUK VE TAKI TASARIMI
83905,KÜLTÜREL MİRAS VE TURİZM
33905,KÜLTÜREL MİRAS VE TURİZM
33910,KÜMES HAYVANLARI YETİŞTİRİCİLİĞİ
33923,LABORANT VE VETERİNER SAĞLIK
33925,LABORATUVAR TEKNOLOJİSİ
33943,LOJİSTİK
83943,LOJİSTİK
320024,MADENCİLİK TEKNOLOJİSİ
320674,MAHKEME BÜRO HİZMETLERİ
33977,MAKİNE
320025,MAKİNE RESİM VE KONSTRÜKSİYONU
34018,MALİYE
34040,MANTARCILIK
34042,MARİNA VE YAT İŞLETMECİLİĞİ
84043,MARKA İLETİŞİMİ
84076,MEDYA VE İLETİŞİM
34076,MEDYA VE İLETİŞİM
34093,MEKATRONİK
34102,MERMER TEKNOLOJİSİ
34114,METALURJİ
34122,MEYVE VE SEBZE İŞLEME TEKNOLOJİSİ
34147,MİMARİ DEKORATİF SANATLAR
34151,MİMARİ RESTORASYON
34176,MOBİL TEKNOLOJİLERİ
34180,MOBİLYA VE DEKORASYON
34186,MODA TASARIMI
34193,MODA YÖNETİMİ
34235,MUHASEBE VE VERGİ UYGULAMALARI
84235,MUHASEBE VE VERGİ UYGULAMALARI
34337,NÜKLEER TEKNOLOJİ VE RADYASYON GÜVENLİĞİ
34339,NÜKLEER TIP TEKNİKLERİ
34348,ODYOMETRİ
320862,OFİS TEKNOLOJİLERİ VE VERİ YÖNETİMİ
34373,OPTİSYENLİK
320709,OPTOELEKTRONİK VE ELEKTRO OPTİK TEKNOLOJİLERİ
34391,ORGANİK TARIM
34418,ORMANCILIK VE ORMAN ÜRÜNLERİ
34468,ORTOPEDİK PROTEZ VE ORTEZ
34487,OTOBÜS KAPTANLIĞI
310025,OTOMOTİV GÖVDE VE YÜZEY İŞLEM TEKNOLOJİLERİ
34502,OTOMOTİV TEKNOLOJİSİ
320724,OTONOM SİSTEMLER TEKNİKERLİĞİ
34504,OTOPSİ YARDIMCILIĞI
320723,OYUN GELİŞTİRME VE PROGRAMLAMA
320725,ÖN-YÜZ YAZILIM GELİŞTİRME
34524,ÖZEL GÜVENLİK VE KORUMA
39504,PASTACILIK VE EKMEKÇİLİK
34548,PATOLOJİ LABORATUVAR TEKNİKLERİ
34551,PAZARLAMA
34600,PERAKENDE SATIŞ VE MAĞAZA YÖNETİMİ
320027,PEYZAJ VE SÜS BİTKİLERİ YETİŞTİRİCİLİĞİ
34643,PODOLOJİ
37922,POLİMER TEKNOLOJİSİ
34656,POSTA HİZMETLERİ
34696,RADYO VE TELEVİZYON TEKNOLOJİSİ
34710,RADYOTERAPİ
34714,RAFİNERİ VE PETRO-KİMYA TEKNOLOJİSİ
37322,RAYLI SİSTEMLER ELEKTRİK VE ELEKTRONİK
34716,RAYLI SİSTEMLER İŞLETMECİLİĞİ
34717,RAYLI SİSTEMLER MAKİNE TEKNOLOJİSİ
320028,RAYLI SİSTEMLER MAKİNİSTLİĞİ
34722,RAYLI SİSTEMLER YOL TEKNOLOJİSİ
34734,REKLAMCILIK
84734,REKLAMCILIK
320727,ROBOTİK VE YAPAY ZEKA
34779,SAÇ BAKIMI VE GÜZELLİK HİZMETLERİ
34782,SAĞLIK BİLGİ SİSTEMLERİ TEKNİKERLİĞİ
34802,SAĞLIK KURUMLARI İŞLETMECİLİĞİ
84802,SAĞLIK KURUMLARI İŞLETMECİLİĞİ
36060,SAĞLIK TURİZMİ İŞLETMECİLİĞİ
320029,SAHNE IŞIK VE SES TEKNOLOJİLERİ
34828,SAHNE VE DEKOR TASARIMI
39575,SANAL VE ARTIRILMIŞ GERÇEKLİK
34882,SERACILIK
34892,SERAMİK VE CAM TASARIMI
34918,SİBER GÜVENLİK
320630,SİBER GÜVENLİK ANALİSTLİĞİ VE OPERATÖRLÜĞÜ
38724,SİLAH SANAYİ TEKNİKERLİĞİ
84953,SİVİL HAVA ULAŞTIRMA İŞLETMECİLİĞİ
34953,SİVİL HAVA ULAŞTIRMA İŞLETMECİLİĞİ
34956,SİVİL HAVACILIK KABİN HİZMETLERİ
34959,SİVİL SAVUNMA VE İTFAİYECİLİK
34983,SONDAJ TEKNOLOJİSİ
34999,SOSYAL GÜVENLİK
320011,SOSYAL HİZMETLER
820011,SOSYAL HİZMETLER
89839,SOSYAL MEDYA YÖNETİCİLİĞİ
320703,SU ALTI KAYNAK TEKNOLOJİSİ
35060,SU ALTI TEKNOLOJİSİ
35072,SU ÜRÜNLERİ İŞLEME TEKNOLOJİSİ
320905,SU VE ATIK YÖNETİMİ TEKNİKERLİĞİ
35085,SULAMA TEKNOLOJİSİ
35100,SÜT VE BESİ HAYVANCILIĞI
35102,SÜT VE ÜRÜNLERİ TEKNOLOJİSİ
35104,ŞARAP ÜRETİM TEKNOLOJİSİ
35117,TAHRİBATSIZ MUAYENE
320895,TALAŞLI ÜRETİM TEKNİKERLİĞİ
35127,TAPU VE KADASTRO
35134,TARIM MAKİNELERİ
37346,TARIM MAKİNELERİ VE TEKNOLOJİLERİ
85138,TARIM TEKNOLOJİSİ
35149,TARIMSAL İŞLETMECİLİK
35169,TARLA BİTKİLERİ
35228,TEKSTİL TEKNOLOJİSİ
37349,TEKSTİL VE HALI MAKİNELERİ
320885,TELE-SAĞLIK TEKNİKERLİĞİ
35324,TIBBİ DOKÜMANTASYON VE SEKRETERLİK
85324,TIBBİ DOKÜMANTASYON VE SEKRETERLİK
35338,TIBBİ GÖRÜNTÜLEME TEKNİKLERİ
35346,TIBBİ LABORATUVAR TEKNİKLERİ
35364,TIBBİ TANITIM VE PAZARLAMA
35367,TIBBİ VE AROMATİK BİTKİLER
320883,TIBBİ VERİ İŞLEME TEKNİKERLİĞİ
38729,TOHUMCULUK TEKNOLOJİSİ
35441,TURİST REHBERLİĞİ
35444,TURİZM ANİMASYONU
37256,TURİZM VE OTEL İŞLETMECİLİĞİ
87256,TURİZM VE OTEL İŞLETMECİLİĞİ
35454,TURİZM VE SEYAHAT HİZMETLERİ
35551,UÇAK TEKNOLOJİSİ
37204,UÇUŞ HAREKAT YÖNETİCİLİĞİ
35560,ULAŞTIRMA VE TRAFİK HİZMETLERİ
