bolum_id,bolum_adi
12856,FELSEFE
62856,FELSEFE
12858,FELSEFE GRUBU ÖĞRETMENLİĞİ
12862,FEN BİLGİSİ ÖĞRETMENLİĞİ
120074,FİLM TASARIMI VE YAZARLIĞI
120046,FİLM TASARIMI VE YÖNETİMİ
120075,FİLM TASARIMI VE YÖNETMENLİĞİ
220047,FİNANS VE BANKACILIK
120047,FİNANS VE BANKACILIK
12903,FİZİK
12906,FİZİK MÜHENDİSLİĞİ
12904,FİZİK ÖĞRETMENLİĞİ
12927,FİZYOTERAPİ VE REHABİLİTASYON
22927,FİZYOTERAPİ VE REHABİLİTASYON
12936,FOTOĞRAF
12938,FOTOĞRAF VE VİDEO
17142,FOTONİK
12944,FRANSIZ DİLİ VE EDEBİYATI
120048,FRANSIZCA MÜTERCİM VE TERCÜMANLIK
12946,FRANSIZCA ÖĞRETMENLİĞİ
12955,GASTRONOMİ VE MUTFAK SANATLARI
22955,GASTRONOMİ VE MUTFAK SANATLARI
42955,GASTRONOMİ VE MUTFAK SANATLARI
17143,GAYRİMENKUL GELİŞTİRME VE YÖNETİMİ
12963,GAZETECİLİK
12981,GELENEKSEL TÜRK SANATLARI
12995,GEMİ İNŞAATI VE GEMİ MAKİNELERİ MÜHENDİSLİĞİ
12999,GEMİ MAKİNELERİ İŞLETME MÜHENDİSLİĞİ
13002,GEMİ VE DENİZ TEKNOLOJİSİ MÜHENDİSLİĞİ
13003,GEMİ VE YAT TASARIMI
13047,GENETİK VE BİYOMÜHENDİSLİK
13060,GERONTOLOJİ
13080,GIDA MÜHENDİSLİĞİ
13086,GIDA TEKNOLOJİSİ
23086,GIDA TEKNOLOJİSİ
13118,GÖRSEL İLETİŞİM TASARIMI
63118,GÖRSEL İLETİŞİM TASARIMI
13121,GÖRSEL SANATLAR
13123,GÖRSEL SANATLAR VE İLETİŞİM TASARIMI
13132,GRAFİK
620049,GRAFİK SANATLAR
13137,GRAFİK TASARIMI
27245,GÜMRÜK İŞLETME
17245,GÜMRÜK İŞLETME
13146,GÜRCÜ DİLİ VE EDEBİYATI
120051,HALKBİLİMİ
13186,HALKLA İLİŞKİLER VE REKLAMCILIK
63186,HALKLA İLİŞKİLER VE REKLAMCILIK
23186,HALKLA İLİŞKİLER VE REKLAMCILIK
13187,HALKLA İLİŞKİLER VE TANITIM
63187,HALKLA İLİŞKİLER VE TANITIM
13191,HARİTA MÜHENDİSLİĞİ
120889,HASSAS TARIM VE TARIMSAL ROBOTLAR
23217,HAVACILIK ELEKTRİK VE ELEKTRONİĞİ
